"user_id","region","treatment"
1000,"Southwest","Test"
1001,"New England","Test"
1002,"Southeast","Test"
1003,"Southwest","Test"
1004,"Southeast","Test"
1005,"Southeast","Test"
1006,"Southeast","Test"
1007,"Midwest","Test"
1008,"Southwest","Test"
1009,"Midwest","Test"
1010,"Pacific Northwest","Control"
1011,"Pacific Northwest","Control"
1012,"Midwest","Control"
1013,"Pacific Northwest","Test"
1014,"Southeast","Control"
1015,"New England","Control"
1016,"Pacific Northwest","Test"
1017,"Midwest","Test"
1018,"Pacific Northwest","Control"
1019,"Pacific Northwest","Test"
1020,"Southeast","Test"
1021,"New England","Control"
1022,"Pacific Northwest","Control"
1023,"Midwest","Test"
1024,"Southeast","Control"
1025,"Southeast","Control"
1026,"New England","Control"
1027,"New England","Control"
1028,"Southeast","Test"
1029,"Midwest","Control"
1030,"New England","Test"
1031,"Southeast","Control"
1032,"Pacific Northwest","Test"
1033,"Pacific Northwest","Control"
1034,"Pacific Northwest","Test"
1035,"Southeast","Control"
1036,"Pacific Northwest","Control"
1037,"Pacific Northwest","Control"
1038,"Pacific Northwest","Test"
1039,"Southwest","Test"
1040,"Pacific Northwest","Test"
1041,"Midwest","Control"
1042,"Southwest","Test"
1043,"Southeast","Control"
1044,"Pacific Northwest","Test"
1045,"Southwest","Control"
1046,"Pacific Northwest","Test"
1047,"Pacific Northwest","Test"
1048,"Southeast","Test"
1049,"Southeast","Control"
1050,"New England","Test"
1051,"New England","Test"
1052,"New England","Control"
1053,"New England","Control"
1054,"Southeast","Control"
1055,"New England","Test"
1056,"Southwest","Test"
1057,"New England","Test"
1058,"Pacific Northwest","Control"
1059,"Southwest","Test"
1060,"Pacific Northwest","Test"
1061,"Midwest","Control"
1062,"New England","Test"
1063,"Pacific Northwest","Test"
1064,"Southeast","Test"
1065,"Pacific Northwest","Control"
1066,"New England","Test"
1067,"Pacific Northwest","Control"
1068,"Southeast","Control"
1069,"Southeast","Control"
1070,"New England","Test"
1071,"Midwest","Control"
1072,"Midwest","Control"
1073,"Midwest","Control"
1074,"Pacific Northwest","Control"
1075,"New England","Test"
1076,"Pacific Northwest","Test"
1077,"New England","Test"
1078,"Pacific Northwest","Control"
1079,"Midwest","Control"
1080,"Pacific Northwest","Control"
1081,"Pacific Northwest","Control"
1082,"Southeast","Test"
1083,"Southwest","Control"
1084,"New England","Test"
1085,"Pacific Northwest","Test"
1086,"Southeast","Control"
1087,"Southeast","Control"
1088,"Pacific Northwest","Test"
1089,"Southwest","Test"
1090,"Pacific Northwest","Control"
1091,"Southwest","Control"
1092,"Pacific Northwest","Control"
1093,"Southwest","Test"
1094,"Southwest","Control"
1095,"Pacific Northwest","Test"
1096,"Midwest","Test"
1097,"Midwest","Test"
1098,"Midwest","Control"
1099,"Pacific Northwest","Control"
1100,"Pacific Northwest","Test"
1101,"New England","Test"
1102,"Midwest","Control"
1103,"Pacific Northwest","Test"
1104,"Pacific Northwest","Test"
1105,"Pacific Northwest","Test"
1106,"Midwest","Test"
1107,"New England","Test"
1108,"Southwest","Control"
1109,"Pacific Northwest","Control"
1110,"Southwest","Test"
1111,"Southeast","Control"
1112,"Pacific Northwest","Control"
1113,"Southwest","Control"
1114,"Pacific Northwest","Control"
1115,"Pacific Northwest","Control"
1116,"Pacific Northwest","Control"
1117,"Southwest","Test"
1118,"Pacific Northwest","Test"
1119,"Pacific Northwest","Test"
1120,"Pacific Northwest","Control"
1121,"Pacific Northwest","Control"
1122,"Midwest","Control"
1123,"Southeast","Control"
1124,"Southwest","Test"
1125,"Midwest","Control"
1126,"Southwest","Test"
1127,"Southeast","Test"
1128,"New England","Test"
1129,"New England","Test"
1130,"Southeast","Control"
1131,"Pacific Northwest","Control"
1132,"Midwest","Control"
1133,"New England","Test"
1134,"New England","Control"
1135,"Pacific Northwest","Test"
1136,"Pacific Northwest","Control"
1137,"Pacific Northwest","Control"
1138,"Pacific Northwest","Control"
1139,"Pacific Northwest","Control"
1140,"New England","Control"
1141,"Pacific Northwest","Control"
1142,"Pacific Northwest","Test"
1143,"Pacific Northwest","Control"
1144,"Southwest","Control"
1145,"Midwest","Control"
1146,"Pacific Northwest","Test"
1147,"Southwest","Control"
1148,"Pacific Northwest","Control"
1149,"Midwest","Test"
1150,"Southwest","Test"
1151,"Midwest","Test"
1152,"Midwest","Control"
1153,"Southeast","Test"
1154,"New England","Control"
1155,"Pacific Northwest","Test"
1156,"Pacific Northwest","Control"
1157,"Southwest","Control"
1158,"Pacific Northwest","Test"
1159,"Southwest","Control"
1160,"New England","Control"
1161,"Pacific Northwest","Test"
1162,"Southeast","Control"
1163,"Pacific Northwest","Test"
1164,"Pacific Northwest","Test"
1165,"Pacific Northwest","Control"
1166,"Pacific Northwest","Control"
1167,"Pacific Northwest","Test"
1168,"Southwest","Test"
1169,"Pacific Northwest","Control"
1170,"Midwest","Control"
1171,"Pacific Northwest","Control"
1172,"New England","Test"
1173,"Southeast","Test"
1174,"New England","Test"
1175,"Midwest","Test"
1176,"New England","Control"
1177,"Pacific Northwest","Control"
1178,"Pacific Northwest","Control"
1179,"Midwest","Test"
1180,"Southwest","Control"
1181,"Southwest","Test"
1182,"Southwest","Control"
1183,"Midwest","Control"
1184,"Midwest","Test"
1185,"Southwest","Test"
1186,"Pacific Northwest","Control"
1187,"New England","Test"
1188,"Pacific Northwest","Control"
1189,"Midwest","Control"
1190,"New England","Control"
1191,"Pacific Northwest","Control"
1192,"Pacific Northwest","Test"
1193,"Pacific Northwest","Test"
1194,"New England","Test"
1195,"Southeast","Test"
1196,"Midwest","Test"
1197,"New England","Test"
1198,"New England","Test"
1199,"Midwest","Control"
1200,"Pacific Northwest","Control"
1201,"Midwest","Control"
1202,"Southwest","Control"
1203,"Southwest","Control"
1204,"Southeast","Control"
1205,"New England","Test"
1206,"Southeast","Control"
1207,"Midwest","Control"
1208,"Midwest","Test"
1209,"Pacific Northwest","Test"
1210,"Midwest","Control"
1211,"New England","Control"
1212,"Pacific Northwest","Control"
1213,"Southwest","Test"
1214,"Pacific Northwest","Control"
1215,"Southwest","Control"
1216,"Pacific Northwest","Control"
1217,"Pacific Northwest","Control"
1218,"Southeast","Control"
1219,"New England","Control"
1220,"Pacific Northwest","Control"
1221,"Southeast","Control"
1222,"Midwest","Control"
1223,"Pacific Northwest","Control"
1224,"Midwest","Control"
1225,"Southwest","Control"
1226,"Pacific Northwest","Test"
1227,"Pacific Northwest","Test"
1228,"Midwest","Test"
1229,"Pacific Northwest","Control"
1230,"New England","Control"
1231,"Pacific Northwest","Control"
1232,"Southwest","Test"
1233,"Southwest","Test"
1234,"Southwest","Test"
1235,"Southwest","Control"
1236,"Pacific Northwest","Test"
1237,"New England","Test"
1238,"New England","Test"
1239,"Southwest","Control"
1240,"New England","Control"
1241,"Southwest","Control"
1242,"Midwest","Control"
1243,"Southeast","Control"
1244,"Southeast","Control"
1245,"Southwest","Test"
1246,"Southwest","Test"
1247,"New England","Control"
1248,"Pacific Northwest","Test"
1249,"Pacific Northwest","Test"
1250,"New England","Test"
1251,"Southeast","Test"
1252,"New England","Control"
1253,"Southeast","Control"
1254,"Pacific Northwest","Test"
1255,"Southeast","Test"
1256,"Midwest","Test"
1257,"Southeast","Control"
1258,"Southeast","Control"
1259,"New England","Test"
1260,"Southeast","Test"
1261,"New England","Control"
1262,"Midwest","Test"
1263,"Southeast","Test"
1264,"Pacific Northwest","Test"
1265,"Southwest","Test"
1266,"Southeast","Control"
1267,"New England","Test"
1268,"New England","Control"
1269,"New England","Control"
1270,"New England","Test"
1271,"Southeast","Control"
1272,"New England","Test"
1273,"Pacific Northwest","Test"
1274,"New England","Test"
1275,"Southwest","Test"
1276,"Pacific Northwest","Control"
1277,"Pacific Northwest","Control"
1278,"Southeast","Control"
1279,"Southwest","Control"
1280,"New England","Test"
1281,"Pacific Northwest","Control"
1282,"Midwest","Test"
1283,"New England","Test"
1284,"Southwest","Test"
1285,"Pacific Northwest","Control"
1286,"New England","Test"
1287,"Midwest","Test"
1288,"Midwest","Control"
1289,"Southeast","Control"
1290,"Midwest","Control"
1291,"Pacific Northwest","Control"
1292,"Southwest","Test"
1293,"Pacific Northwest","Test"
1294,"Southwest","Test"
1295,"Pacific Northwest","Control"
1296,"Southeast","Control"
1297,"New England","Test"
1298,"New England","Control"
1299,"Pacific Northwest","Test"
1300,"Pacific Northwest","Control"
1301,"Southwest","Control"
1302,"New England","Control"
1303,"Pacific Northwest","Control"
1304,"Pacific Northwest","Test"
1305,"Southeast","Test"
1306,"Midwest","Control"
1307,"Pacific Northwest","Control"
1308,"Pacific Northwest","Control"
1309,"Southwest","Control"
1310,"Pacific Northwest","Control"
1311,"Pacific Northwest","Control"
1312,"Pacific Northwest","Test"
1313,"Pacific Northwest","Test"
1314,"Southeast","Control"
1315,"Midwest","Test"
1316,"Southeast","Control"
1317,"Southwest","Test"
1318,"New England","Control"
1319,"Southeast","Control"
1320,"Southwest","Test"
1321,"Pacific Northwest","Control"
1322,"Midwest","Control"
1323,"Southwest","Test"
1324,"New England","Control"
1325,"Midwest","Control"
1326,"Southwest","Test"
1327,"Pacific Northwest","Test"
1328,"Pacific Northwest","Test"
1329,"Southwest","Test"
1330,"Southwest","Test"
1331,"Southwest","Control"
1332,"Midwest","Control"
1333,"Midwest","Control"
1334,"Pacific Northwest","Test"
1335,"New England","Test"
1336,"Pacific Northwest","Control"
1337,"New England","Control"
1338,"Pacific Northwest","Test"
1339,"Pacific Northwest","Test"
1340,"Midwest","Test"
1341,"Southeast","Control"
1342,"Southwest","Test"
1343,"New England","Control"
1344,"Pacific Northwest","Test"
1345,"Midwest","Control"
1346,"Pacific Northwest","Test"
1347,"Pacific Northwest","Control"
1348,"Pacific Northwest","Control"
1349,"Pacific Northwest","Control"
1350,"Pacific Northwest","Test"
1351,"Southwest","Control"
1352,"Southwest","Control"
1353,"Pacific Northwest","Control"
1354,"Midwest","Test"
1355,"Pacific Northwest","Test"
1356,"Southeast","Control"
1357,"Southwest","Test"
1358,"Midwest","Test"
1359,"Southeast","Test"
1360,"Midwest","Test"
1361,"Midwest","Test"
1362,"Pacific Northwest","Test"
1363,"Southeast","Test"
1364,"New England","Test"
1365,"Pacific Northwest","Control"
1366,"New England","Control"
1367,"Midwest","Control"
1368,"Midwest","Test"
1369,"Southwest","Test"
1370,"New England","Control"
1371,"New England","Control"
1372,"Pacific Northwest","Test"
1373,"Pacific Northwest","Control"
1374,"New England","Test"
1375,"Pacific Northwest","Control"
1376,"Southeast","Control"
1377,"Pacific Northwest","Test"
1378,"Pacific Northwest","Test"
1379,"Southeast","Test"
1380,"Pacific Northwest","Control"
1381,"Southeast","Test"
1382,"New England","Test"
1383,"Southwest","Control"
1384,"Southeast","Control"
1385,"New England","Control"
1386,"Southwest","Control"
1387,"Southeast","Test"
1388,"Midwest","Test"
1389,"Southwest","Control"
1390,"Pacific Northwest","Test"
1391,"New England","Control"
1392,"New England","Control"
1393,"New England","Control"
1394,"New England","Control"
1395,"New England","Control"
1396,"Midwest","Test"
1397,"Southeast","Test"
1398,"Pacific Northwest","Test"
1399,"Pacific Northwest","Control"
1400,"New England","Test"
1401,"Southwest","Control"
1402,"New England","Control"
1403,"Pacific Northwest","Test"
1404,"Midwest","Test"
1405,"New England","Test"
1406,"Southwest","Control"
1407,"Southwest","Test"
1408,"Pacific Northwest","Control"
1409,"Pacific Northwest","Test"
1410,"Southeast","Test"
1411,"Midwest","Test"
1412,"Pacific Northwest","Test"
1413,"Pacific Northwest","Test"
1414,"Southwest","Control"
1415,"New England","Test"
1416,"Pacific Northwest","Control"
1417,"Southeast","Control"
1418,"Pacific Northwest","Control"
1419,"Pacific Northwest","Test"
1420,"Pacific Northwest","Test"
1421,"Midwest","Control"
1422,"Midwest","Control"
1423,"New England","Control"
1424,"Pacific Northwest","Test"
1425,"Pacific Northwest","Control"
1426,"Southeast","Control"
1427,"Southeast","Control"
1428,"Pacific Northwest","Control"
1429,"Pacific Northwest","Control"
1430,"Southeast","Test"
1431,"Midwest","Test"
1432,"Southwest","Test"
1433,"Pacific Northwest","Test"
1434,"Southeast","Test"
1435,"New England","Test"
1436,"Southwest","Test"
1437,"Pacific Northwest","Control"
1438,"New England","Control"
1439,"Pacific Northwest","Control"
1440,"New England","Test"
1441,"Midwest","Control"
1442,"Southeast","Control"
1443,"New England","Control"
1444,"Southwest","Control"
1445,"New England","Test"
1446,"Southeast","Control"
1447,"Pacific Northwest","Control"
1448,"New England","Control"
1449,"New England","Control"
1450,"Southwest","Control"
1451,"Midwest","Test"
1452,"Midwest","Test"
1453,"Pacific Northwest","Control"
1454,"Southeast","Control"
1455,"Pacific Northwest","Test"
1456,"New England","Control"
1457,"Southwest","Control"
1458,"Midwest","Control"
1459,"Midwest","Control"
1460,"Midwest","Control"
1461,"New England","Test"
1462,"Pacific Northwest","Test"
1463,"Pacific Northwest","Test"
1464,"New England","Test"
1465,"Midwest","Test"
1466,"Pacific Northwest","Test"
1467,"New England","Control"
1468,"Pacific Northwest","Control"
1469,"Midwest","Test"
1470,"New England","Test"
1471,"Southwest","Test"
1472,"Pacific Northwest","Test"
1473,"Pacific Northwest","Control"
1474,"Pacific Northwest","Control"
1475,"Southwest","Test"
1476,"Pacific Northwest","Control"
1477,"New England","Control"
1478,"Pacific Northwest","Test"
1479,"Southwest","Control"
1480,"Pacific Northwest","Test"
1481,"Pacific Northwest","Test"
1482,"Midwest","Control"
1483,"New England","Control"
1484,"Pacific Northwest","Test"
1485,"Southeast","Test"
1486,"New England","Test"
1487,"Pacific Northwest","Test"
1488,"Pacific Northwest","Test"
1489,"New England","Control"
1490,"Southeast","Test"
1491,"Pacific Northwest","Test"
1492,"Southeast","Control"
1493,"Southwest","Control"
1494,"New England","Control"
1495,"Southwest","Control"
1496,"New England","Control"
1497,"New England","Control"
1498,"New England","Test"
1499,"Midwest","Test"
1500,"New England","Test"
1501,"Southeast","Control"
1502,"Southeast","Control"
1503,"Midwest","Test"
1504,"Midwest","Test"
1505,"New England","Test"
1506,"Pacific Northwest","Control"
1507,"New England","Control"
1508,"Midwest","Control"
1509,"Southwest","Test"
1510,"New England","Control"
1511,"Midwest","Control"
1512,"Pacific Northwest","Control"
1513,"Southwest","Test"
1514,"New England","Test"
1515,"Pacific Northwest","Test"
1516,"Southwest","Test"
1517,"Pacific Northwest","Control"
1518,"Southeast","Test"
1519,"Southwest","Test"
1520,"Midwest","Control"
1521,"New England","Control"
1522,"Southeast","Control"
1523,"Southwest","Control"
1524,"Southeast","Control"
1525,"Pacific Northwest","Test"
1526,"Southwest","Control"
1527,"Pacific Northwest","Test"
1528,"New England","Control"
1529,"New England","Test"
1530,"Southwest","Control"
1531,"Midwest","Control"
1532,"Southwest","Control"
1533,"Southeast","Test"
1534,"Midwest","Test"
1535,"Southwest","Control"
1536,"Midwest","Test"
1537,"New England","Control"
1538,"Southeast","Test"
1539,"Pacific Northwest","Control"
1540,"Midwest","Control"
1541,"New England","Control"
1542,"Southeast","Test"
1543,"Southeast","Test"
1544,"New England","Test"
1545,"Southwest","Control"
1546,"Pacific Northwest","Control"
1547,"Pacific Northwest","Control"
1548,"New England","Test"
1549,"Pacific Northwest","Test"
1550,"New England","Test"
1551,"Midwest","Control"
1552,"Pacific Northwest","Test"
1553,"Pacific Northwest","Control"
1554,"Midwest","Control"
1555,"New England","Test"
1556,"Southwest","Test"
1557,"New England","Test"
1558,"Midwest","Test"
1559,"Southwest","Control"
1560,"Pacific Northwest","Control"
1561,"Midwest","Control"
1562,"New England","Control"
1563,"New England","Control"
1564,"Southwest","Test"
1565,"Southwest","Control"
1566,"Southwest","Control"
1567,"Southwest","Control"
1568,"Southwest","Control"
1569,"Southwest","Test"
1570,"Southeast","Test"
1571,"Midwest","Control"
1572,"New England","Test"
1573,"Southwest","Test"
1574,"Southwest","Control"
1575,"Pacific Northwest","Control"
1576,"Pacific Northwest","Test"
1577,"Midwest","Test"
1578,"Southwest","Control"
1579,"Midwest","Test"
1580,"Southeast","Test"
1581,"Pacific Northwest","Control"
1582,"Midwest","Test"
1583,"Southeast","Test"
1584,"Pacific Northwest","Control"
1585,"Midwest","Test"
1586,"Southeast","Test"
1587,"New England","Test"
1588,"Southeast","Test"
1589,"Pacific Northwest","Control"
1590,"Pacific Northwest","Test"
1591,"Pacific Northwest","Control"
1592,"Pacific Northwest","Test"
1593,"Pacific Northwest","Test"
1594,"Southeast","Test"
1595,"Pacific Northwest","Control"
1596,"Southwest","Test"
1597,"Pacific Northwest","Test"
1598,"Southwest","Test"
1599,"New England","Test"
1600,"Midwest","Control"
1601,"New England","Control"
1602,"Pacific Northwest","Test"
1603,"Southwest","Control"
1604,"Southeast","Control"
1605,"Southeast","Control"
1606,"Midwest","Control"
1607,"Pacific Northwest","Control"
1608,"New England","Control"
1609,"Pacific Northwest","Test"
1610,"Pacific Northwest","Control"
1611,"New England","Test"
1612,"Southeast","Control"
1613,"Pacific Northwest","Test"
1614,"Pacific Northwest","Control"
1615,"Midwest","Control"
1616,"Pacific Northwest","Control"
1617,"Pacific Northwest","Control"
1618,"Midwest","Test"
1619,"New England","Test"
1620,"Midwest","Test"
1621,"Pacific Northwest","Test"
1622,"Pacific Northwest","Control"
1623,"Southwest","Control"
1624,"New England","Control"
1625,"New England","Test"
1626,"Pacific Northwest","Control"
1627,"Pacific Northwest","Test"
1628,"Pacific Northwest","Test"
1629,"New England","Test"
1630,"New England","Test"
1631,"Southwest","Control"
1632,"Southeast","Test"
1633,"Southwest","Test"
1634,"New England","Control"
1635,"New England","Test"
1636,"Southeast","Control"
1637,"Pacific Northwest","Test"
1638,"Pacific Northwest","Control"
1639,"Pacific Northwest","Control"
1640,"Southeast","Test"
1641,"Midwest","Test"
1642,"Southeast","Control"
1643,"New England","Test"
1644,"Midwest","Control"
1645,"Midwest","Control"
1646,"New England","Test"
1647,"Midwest","Control"
1648,"New England","Control"
1649,"Midwest","Test"
1650,"Midwest","Test"
1651,"Southwest","Test"
1652,"Pacific Northwest","Test"
1653,"Southeast","Control"
1654,"Midwest","Test"
1655,"Midwest","Control"
1656,"Pacific Northwest","Control"
1657,"Midwest","Control"
1658,"Pacific Northwest","Control"
1659,"Pacific Northwest","Test"
1660,"Pacific Northwest","Control"
1661,"New England","Control"
1662,"Pacific Northwest","Control"
1663,"Pacific Northwest","Test"
1664,"Pacific Northwest","Control"
1665,"Southeast","Control"
1666,"Southwest","Test"
1667,"Midwest","Control"
1668,"Midwest","Control"
1669,"Pacific Northwest","Control"
1670,"Southwest","Control"
1671,"Midwest","Control"
1672,"Pacific Northwest","Control"
1673,"New England","Test"
1674,"Pacific Northwest","Control"
1675,"Southwest","Test"
1676,"Southeast","Test"
1677,"Southwest","Test"
1678,"Pacific Northwest","Control"
1679,"New England","Test"
1680,"New England","Control"
1681,"Southwest","Test"
1682,"Southeast","Test"
1683,"New England","Test"
1684,"Southeast","Test"
1685,"Pacific Northwest","Test"
1686,"Southwest","Test"
1687,"New England","Test"
1688,"Southeast","Test"
1689,"Southwest","Test"
1690,"Pacific Northwest","Test"
1691,"Pacific Northwest","Test"
1692,"Midwest","Control"
1693,"Southwest","Test"
1694,"Pacific Northwest","Control"
1695,"Pacific Northwest","Control"
1696,"Pacific Northwest","Test"
1697,"Southwest","Control"
1698,"Southeast","Test"
1699,"Southeast","Test"
1700,"Southwest","Control"
1701,"Pacific Northwest","Test"
1702,"New England","Test"
1703,"Southeast","Test"
1704,"Southwest","Control"
1705,"New England","Control"
1706,"Pacific Northwest","Control"
1707,"New England","Control"
1708,"Midwest","Test"
1709,"Southwest","Control"
1710,"Pacific Northwest","Test"
1711,"Pacific Northwest","Control"
1712,"New England","Test"
1713,"Pacific Northwest","Test"
1714,"New England","Test"
1715,"New England","Test"
1716,"Southwest","Test"
1717,"New England","Test"
1718,"Pacific Northwest","Control"
1719,"Pacific Northwest","Test"
1720,"Southeast","Test"
1721,"Pacific Northwest","Test"
1722,"New England","Test"
1723,"Pacific Northwest","Test"
1724,"New England","Test"
1725,"Pacific Northwest","Control"
1726,"Pacific Northwest","Test"
1727,"Southwest","Control"
1728,"Pacific Northwest","Control"
1729,"New England","Control"
1730,"Midwest","Control"
1731,"Southwest","Test"
1732,"Southwest","Control"
1733,"Pacific Northwest","Test"
1734,"Midwest","Control"
1735,"Midwest","Test"
1736,"Southwest","Test"
1737,"Pacific Northwest","Test"
1738,"Pacific Northwest","Test"
1739,"Southwest","Control"
1740,"Southeast","Control"
